# CAPS(cm)         ALTURAS(m)      DENSIDADES(g/cm^3)
130.3761           20.5000         0.5  
80.4248            18.6000	   0.6           
140.7434           22.7500         0.5         
28.2743            6.9100          0.5         
98.3319            19.2000         0.6  
111.2124           21.8000         0.5  
113.7257           22.7500         0.5  
20.4204            6.5700          0.6  
108.6991           18.6000         0.5  
95.8186            19.1000         0.6  
99.5885            22.5000         0.5  
19.7920            5.5200          0.6  
80.4248            18.6000         0.5  
116.8672           21.3000         0.6  
33.6150            7.4800          0.5  
89.5354            18.3000         0.6  
107.7566           20.8000         0.6  
87.0221            17.1000         0.5 
32.0442            7.9300          0.6  
73.5133            16.6000         0.5  
95.5044            18.5000         0.6  
136.6593           24.1000         0.5  
26.3894            6.5300          0.6 
90.7920            17.2000         0.5  
125.3495           19.0000         0.6  
112.4690           20.8000         0.5  
39.2699            8.4000          0.6  
91.1062            19.6000         0.6  
130.3761           20.5000         0.6  
185.9823           25.5000         0.5  
40.2124            8.5700          0.6  
91.1062            19.6000         0.5  
102.1018           17.7000         0.6  
90.4779            20.7000         0.5  
117.1814           21.6000         0.5  
